,block_number,block_slot,block_time,validator_index,withdrawal_amount,withdrawal_recipient
172,19236557,8434596,2024-02-15 23:19:35.000 UTC,1082684,0.017634533,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
173,19235546,8433571,2024-02-15 19:54:35.000 UTC,1065562,0.01763843,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
174,19235546,8433571,2024-02-15 19:54:35.000 UTC,1065561,0.060741435,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
175,19234305,8432322,2024-02-15 15:44:47.000 UTC,1044578,0.017677493,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
176,19234305,8432322,2024-02-15 15:44:47.000 UTC,1044577,0.017716454,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
177,19234305,8432322,2024-02-15 15:44:47.000 UTC,1044576,0.017663011,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
178,19234305,8432322,2024-02-15 15:44:47.000 UTC,1044575,0.01768535,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
179,19234305,8432322,2024-02-15 15:44:47.000 UTC,1044574,0.017666376,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
180,19234305,8432322,2024-02-15 15:44:47.000 UTC,1044573,0.017597358,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
181,19234278,8432295,2024-02-15 15:39:23.000 UTC,1044119,0.017678549,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
182,19234278,8432295,2024-02-15 15:39:23.000 UTC,1044118,0.017670812,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
183,19233828,8431842,2024-02-15 14:08:47.000 UTC,1036825,0.017637324,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
184,19233297,8431307,2024-02-15 12:21:47.000 UTC,1027991,0.017689491,0xb3d9cf8e163bbc840195a97e81f8a34e295b8f39
185,19233297,8431307,2024-02-15 12:21:47.000 UTC,1027990,0.017647352,0xb3d9cf8e163bbc840195a97e81f8a34e295b8f39
186,19231807,8429806,2024-02-15 07:21:35.000 UTC,1003213,0.017669382,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
187,19231640,8429639,2024-02-15 06:48:11.000 UTC,1000287,0.017696743,0x6be457e04092b28865e0cba84e3b2cfa0f871e67
188,19231640,8429639,2024-02-15 06:48:11.000 UTC,1000285,0.017714842,0x6be457e04092b28865e0cba84e3b2cfa0f871e67
189,19231640,8429639,2024-02-15 06:48:11.000 UTC,1000283,0.017749079,0x6be457e04092b28865e0cba84e3b2cfa0f871e67
190,19231640,8429639,2024-02-15 06:48:11.000 UTC,1000278,0.017705463,0x6be457e04092b28865e0cba84e3b2cfa0f871e67
191,19230779,8428771,2024-02-15 03:54:35.000 UTC,985212,0.017631936,0x004c26816da9219cf3408e84edd9716df4b5739a
192,19230779,8428771,2024-02-15 03:54:35.000 UTC,985213,0.017433806,0x004c26816da9219cf3408e84edd9716df4b5739a
193,19230779,8428771,2024-02-15 03:54:35.000 UTC,985214,0.017652852,0x004c26816da9219cf3408e84edd9716df4b5739a
194,19230779,8428771,2024-02-15 03:54:35.000 UTC,985215,0.017625115,0x004c26816da9219cf3408e84edd9716df4b5739a
195,19230671,8428661,2024-02-15 03:32:35.000 UTC,983414,0.017690165,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
196,19230671,8428661,2024-02-15 03:32:35.000 UTC,983413,0.017681424,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
197,19230671,8428661,2024-02-15 03:32:35.000 UTC,983415,0.017711715,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
198,19230145,8428127,2024-02-15 01:45:47.000 UTC,974133,0.017596782,0xf02e86d9e0efd57ad034faf52201b79917fe0713
199,19230145,8428127,2024-02-15 01:45:47.000 UTC,974132,0.017649176,0xf02e86d9e0efd57ad034faf52201b79917fe0713
200,19230145,8428127,2024-02-15 01:45:47.000 UTC,974131,0.017562623,0xf02e86d9e0efd57ad034faf52201b79917fe0713
201,19230145,8428127,2024-02-15 01:45:47.000 UTC,974130,0.017636832,0xf02e86d9e0efd57ad034faf52201b79917fe0713
202,19230145,8428127,2024-02-15 01:45:47.000 UTC,974129,0.017556989,0xf02e86d9e0efd57ad034faf52201b79917fe0713
203,19230145,8428127,2024-02-15 01:45:47.000 UTC,974128,0.017654997,0xf02e86d9e0efd57ad034faf52201b79917fe0713
204,19230145,8428127,2024-02-15 01:45:47.000 UTC,974127,0.017670381,0xf02e86d9e0efd57ad034faf52201b79917fe0713
